ticket_id,customer_id,customer_name,customer_email,product_purchased,ticket_type,ticket_subject,ticket_status,resolution,ticket_priority,ticket_channel,first_response_minutes,resolution_hours,customer_satisfaction_rating
TKT00058,CUST01562,Customer 6,customer1070@example.com,Cloud Subscription,Billing,General enquiry,In Progress,Escalated,Medium,Phone,455,47.57,5
TKT00059,CUST01218,Customer 1111,customer1869@example.com,Support Package,Billing,Performance issue,Closed,Password reset,Low,Web Form,191,6.95,2
TKT00060,CUST01169,Customer 481,customer684@example.com,Laptop,Technical Issue,Performance issue,Open,Refund processed,Low,Email,570,55.34,2
TKT00061,CUST00151,Customer 795,customer527@example.com,Analytics Suite,Account Access,Performance issue,Closed,Password reset,Low,Phone,76,54.24,5
TKT00062,CUST00812,Customer 973,customer82@example.com,Support Package,Account Access,General enquiry,Resolved,Configuration fixed,Medium,Chat,479,101.57,1
TKT00063,CUST01951,Customer 399,customer1887@example.com,CRM License,Account Access,Login problem,Resolved,Escalated,Critical,Chat,436,77.65,1
TKT00064,CUST00919,Customer 614,customer15@example.com,Analytics Suite,Technical Issue,Payment issue,Closed,Escalated,Low,Chat,49,48.6,4
TKT00065,CUST01767,Customer 825,customer834@example.com,Cloud Subscription,Account Access,Performance issue,Closed,Password reset,High,Web Form,148,61.37,1
TKT00066,CUST00821,Customer 1543,customer851@example.com,Analytics Suite,Account Access,Payment issue,Resolved,Refund processed,Low,Email,566,66.12,4
TKT00067,CUST01696,Customer 574,customer1854@example.com,Laptop,Technical Issue,Performance issue,Resolved,Refund processed,Low,Email,409,27.53,3
TKT00068,CUST01655,Customer 1275,customer968@example.com,Cloud Subscription,Technical Issue,Login problem,In Progress,Refund processed,Medium,Email,475,93.16,3
TKT00069,CUST01245,Customer 724,customer15@example.com,Analytics Suite,Billing,Installation help,In Progress,Information provided,High,Phone,506,56.33,5
TKT00070,CUST01628,Customer 536,customer459@example.com,Cloud Subscription,Product Question,Performance issue,Resolved,Refund processed,Critical,Email,3,76.72,4
TKT00071,CUST00096,Customer 222,customer1022@example.com,Laptop,Billing,General enquiry,Open,Escalated,High,Chat,510,4.31,2
TKT00072,CUST00747,Customer 35,customer1600@example.com,Analytics Suite,Feature Request,Payment issue,Resolved,Information provided,Critical,Chat,428,13.75,4
TKT00073,CUST00179,Customer 689,customer111@example.com,CRM License,Feature Request,Payment issue,Resolved,Refund processed,Medium,Web Form,148,70.95,1
TKT00074,CUST01395,Customer 510,customer1447@example.com,Laptop,Product Question,Performance issue,In Progress,Refund processed,Low,Chat,183,89.44,1
TKT00075,CUST00585,Customer 1505,customer348@example.com,CRM License,Billing,Login problem,In Progress,Configuration fixed,Medium,Chat,237,38.84,2
TKT00076,CUST01064,Customer 1039,customer377@example.com,Laptop,Product Question,Payment issue,Resolved,Configuration fixed,Medium,Chat,363,113.51,2
TKT00077,CUST01686,Customer 113,customer284@example.com,AI Platform,Technical Issue,Payment issue,Closed,Password reset,Medium,Chat,162,101.99,5
TKT00078,CUST01497,Customer 1525,customer376@example.com,AI Platform,Technical Issue,Login problem,Resolved,Password reset,Low,Web Form,171,63.18,3
TKT00079,CUST01334,Customer 795,customer1231@example.com,Laptop,Feature Request,Performance issue,Resolved,Configuration fixed,Critical,Email,325,76.97,3
TKT00080,CUST00101,Customer 1207,customer1730@example.com,Laptop,Technical Issue,Performance issue,Open,Escalated,Critical,Phone,438,71.38,4
TKT00081,CUST01233,Customer 252,customer137@example.com,Support Package,Account Access,General enquiry,In Progress,Configuration fixed,Low,Web Form,259,37.03,3
TKT00082,CUST00673,Customer 112,customer1839@example.com,CRM License,Product Question,Installation help,In Progress,Password reset,Low,Email,113,7.98,4
TKT00083,CUST01980,Customer 207,customer443@example.com,CRM License,Product Question,Installation help,Closed,Information provided,Critical,Web Form,69,96.65,3
TKT00084,CUST00672,Customer 934,customer1970@example.com,Analytics Suite,Account Access,Installation help,Closed,Information provided,Critical,Phone,501,55.54,3
TKT00085,CUST01499,Customer 1769,customer1618@example.com,Cloud Subscription,Billing,Payment issue,Open,Refund processed,Low,Phone,294,101.1,5
TKT00086,CUST01194,Customer 1920,customer1373@example.com,Analytics Suite,Product Question,Installation help,In Progress,Refund processed,High,Email,45,45.26,4
TKT00087,CUST00672,Customer 1606,customer983@example.com,Analytics Suite,Product Question,General enquiry,Closed,Password reset,Medium,Email,225,2.21,1
TKT00088,CUST00416,Customer 1809,customer1858@example.com,Support Package,Product Question,Installation help,Open,Escalated,Critical,Web Form,16,15.67,1
TKT00089,CUST00520,Customer 1537,customer950@example.com,AI Platform,Account Access,Login problem,In Progress,Escalated,High,Phone,122,19.29,3
TKT00090,CUST01064,Customer 1485,customer298@example.com,Analytics Suite,Account Access,General enquiry,Resolved,Password reset,Low,Phone,80,87.85,2
TKT00091,CUST01772,Customer 844,customer661@example.com,AI Platform,Product Question,Installation help,In Progress,Password reset,Medium,Email,556,4.33,3
TKT00092,CUST01960,Customer 568,customer312@example.com,Support Package,Billing,Installation help,In Progress,Refund processed,High,Phone,231,98.41,3
TKT00093,CUST00630,Customer 1259,customer526@example.com,Analytics Suite,Billing,Installation help,Resolved,Configuration fixed,Medium,Phone,105,83.04,5
TKT00094,CUST00088,Customer 45,customer84@example.com,Laptop,Billing,Performance issue,In Progress,Refund processed,Low,Web Form,394,39.14,2
TKT00095,CUST00442,Customer 359,customer940@example.com,Laptop,Product Question,Performance issue,Closed,Information provided,High,Email,596,62.88,4
TKT00096,CUST01007,Customer 913,customer1078@example.com,Analytics Suite,Technical Issue,General enquiry,Closed,Configuration fixed,High,Phone,289,111.89,5
TKT00097,CUST00804,Customer 1266,customer1020@example.com,CRM License,Billing,Performance issue,Closed,Refund processed,Critical,Web Form,111,8.83,2
TKT00098,CUST00277,Customer 749,customer443@example.com,AI Platform,Feature Request,Installation help,Resolved,Password reset,High,Phone,286,43.92,5
TKT00099,CUST00347,Customer 1541,customer532@example.com,Support Package,Feature Request,Payment issue,Resolved,Escalated,Medium,Web Form,375,47.22,5
TKT00100,CUST01165,Customer 1352,customer1138@example.com,Support Package,Technical Issue,Installation help,Open,Refund processed,Critical,Chat,519,115.6,2
TKT00101,CUST00534,Customer 521,customer652@example.com,Support Package,Account Access,General enquiry,In Progress,Escalated,Medium,Phone,85,117.04,4
TKT00102,CUST00482,Customer 142,customer16@example.com,AI Platform,Technical Issue,Installation help,In Progress,Password reset,High,Web Form,336,101.04,2
TKT00103,CUST00754,Customer 546,customer1440@example.com,Support Package,Technical Issue,Performance issue,In Progress,Refund processed,Critical,Phone,27,46.15,1
TKT00104,CUST01806,Customer 1847,customer1058@example.com,AI Platform,Technical Issue,General enquiry,In Progress,Escalated,Critical,Phone,305,106.78,2
TKT00105,CUST01686,Customer 460,customer383@example.com,CRM License,Technical Issue,Performance issue,Resolved,Information provided,Medium,Web Form,10,58.35,1
TKT00106,CUST00636,Customer 1472,customer1778@example.com,Laptop,Technical Issue,General enquiry,Resolved,Escalated,Medium,Web Form,252,77.46,3
TKT00107,CUST01536,Customer 1371,customer513@example.com,Laptop,Account Access,Installation help,Resolved,Password reset,Critical,Chat,298,111.38,2
TKT00108,CUST01917,Customer 1942,customer1452@example.com,Cloud Subscription,Product Question,Payment issue,Open,Escalated,High,Phone,587,30.15,5
TKT00109,CUST00561,Customer 1847,customer92@example.com,Analytics Suite,Technical Issue,Installation help,In Progress,Information provided,Critical,Phone,117,103.36,3
TKT00110,CUST00009,Customer 1731,customer735@example.com,Support Package,Technical Issue,Installation help,In Progress,Refund processed,Low,Email,147,48.21,2
TKT00111,CUST00463,Customer 620,customer500@example.com,Support Package,Billing,Login problem,Closed,Configuration fixed,Critical,Web Form,348,104.61,2
TKT00112,CUST01665,Customer 861,customer137@example.com,AI Platform,Product Question,Login problem,Closed,Refund processed,Low,Email,95,66.04,2
TKT00113,CUST00213,Customer 979,customer865@example.com,Support Package,Product Question,Installation help,In Progress,Configuration fixed,Medium,Phone,36,30.05,1
TKT00114,CUST00524,Customer 1325,customer491@example.com,Laptop,Product Question,General enquiry,Resolved,Information provided,Low,Web Form,296,91.98,3
TKT00115,CUST01908,Customer 290,customer501@example.com,Laptop,Billing,Payment issue,Closed,Escalated,Critical,Chat,145,14.26,1
TKT00116,CUST00404,Customer 1692,customer1007@example.com,Support Package,Technical Issue,General enquiry,Closed,Information provided,Low,Phone,407,17.63,3
TKT00117,CUST00959,Customer 1287,customer1750@example.com,CRM License,Product Question,Performance issue,In Progress,Information provided,High,Phone,57,18.21,4
TKT00118,CUST01769,Customer 408,customer515@example.com,Cloud Subscription,Technical Issue,Payment issue,Resolved,Escalated,Low,Phone,14,100.92,4
TKT00119,CUST01694,Customer 100,customer313@example.com,Laptop,Account Access,Login problem,Closed,Password reset,Low,Web Form,134,104.61,1
TKT00120,CUST00609,Customer 20,customer1553@example.com,Cloud Subscription,Billing,Installation help,Closed,Escalated,Medium,Chat,514,68.93,4
TKT00121,CUST00500,Customer 722,customer833@example.com,Support Package,Feature Request,General enquiry,Resolved,Information provided,Low,Web Form,332,33.89,3
TKT00122,CUST01168,Customer 616,customer1871@example.com,Cloud Subscription,Feature Request,Performance issue,Open,Information provided,Medium,Phone,171,47.61,4
TKT00123,CUST00646,Customer 302,customer1419@example.com,Cloud Subscription,Technical Issue,General enquiry,Resolved,Information provided,Low,Chat,358,22.44,3
TKT00124,CUST01474,Customer 875,customer353@example.com,Analytics Suite,Feature Request,Performance issue,In Progress,Escalated,High,Chat,387,0.96,3
TKT00125,CUST01354,Customer 47,customer1535@example.com,Support Package,Feature Request,Performance issue,In Progress,Escalated,Low,Web Form,266,100.84,3
TKT00126,CUST00839,Customer 1250,customer12@example.com,Cloud Subscription,Technical Issue,Installation help,In Progress,Password reset,Medium,Web Form,105,23.76,1
TKT00127,CUST00820,Customer 884,customer914@example.com,AI Platform,Product Question,Performance issue,Resolved,Password reset,Low,Chat,222,9.95,3
TKT00128,CUST00203,Customer 527,customer169@example.com,Laptop,Technical Issue,Payment issue,In Progress,Configuration fixed,Critical,Chat,523,16.25,4
TKT00129,CUST01388,Customer 916,customer1547@example.com,CRM License,Product Question,Installation help,In Progress,Password reset,Medium,Chat,421,111.16,5
TKT00130,CUST01845,Customer 885,customer1606@example.com,Analytics Suite,Technical Issue,General enquiry,Closed,Password reset,Medium,Web Form,216,43.91,3
TKT00131,CUST01753,Customer 1685,customer1879@example.com,Laptop,Billing,Performance issue,Open,Escalated,Medium,Chat,539,77.95,2
TKT00132,CUST01296,Customer 1298,customer108@example.com,Laptop,Account Access,Payment issue,Resolved,Escalated,Low,Phone,113,4.24,2
TKT00133,CUST01456,Customer 469,customer1695@example.com,Laptop,Account Access,Installation help,Open,Escalated,Medium,Phone,101,63.73,5
TKT00134,CUST01785,Customer 1649,customer1493@example.com,Laptop,Account Access,Login problem,In Progress,Escalated,Critical,Web Form,13,89.73,5
TKT00135,CUST00439,Customer 663,customer1707@example.com,Support Package,Account Access,Login problem,Resolved,Configuration fixed,Medium,Chat,56,8.34,2
TKT00136,CUST01536,Customer 454,customer811@example.com,Cloud Subscription,Product Question,General enquiry,In Progress,Refund processed,Critical,Chat,186,36.22,4
TKT00137,CUST00208,Customer 1453,customer1306@example.com,AI Platform,Account Access,Payment issue,Resolved,Password reset,Low,Phone,34,38.98,5
TKT00138,CUST01548,Customer 1600,customer853@example.com,Cloud Subscription,Account Access,Login problem,Resolved,Escalated,Medium,Chat,228,106.53,3
TKT00139,CUST00438,Customer 14,customer1356@example.com,Analytics Suite,Billing,Payment issue,Resolved,Refund processed,High,Web Form,43,79.99,3
TKT00140,CUST01180,Customer 1879,customer1462@example.com,Laptop,Technical Issue,Payment issue,Open,Refund processed,Low,Chat,23,103.91,5
TKT00141,CUST00005,Customer 1261,customer587@example.com,Cloud Subscription,Billing,Payment issue,Open,Information provided,Medium,Phone,350,45.38,4
TKT00142,CUST00013,Customer 820,customer641@example.com,CRM License,Feature Request,General enquiry,Closed,Escalated,Critical,Web Form,334,71.14,4
TKT00143,CUST01299,Customer 1510,customer1968@example.com,Laptop,Technical Issue,Performance issue,Open,Escalated,Medium,Phone,477,62.37,5
TKT00144,CUST01766,Customer 1104,customer1621@example.com,Analytics Suite,Feature Request,Payment issue,Closed,Refund processed,Critical,Chat,273,33.49,5
TKT00145,CUST00221,Customer 1910,customer108@example.com,Laptop,Billing,Installation help,Resolved,Configuration fixed,Low,Chat,518,50.98,4
TKT00146,CUST01662,Customer 20,customer189@example.com,Laptop,Product Question,Login problem,Closed,Refund processed,Critical,Phone,296,29.77,4
TKT00147,CUST01511,Customer 1070,customer1587@example.com,Laptop,Billing,Installation help,Resolved,Escalated,Critical,Web Form,164,2.44,2
TKT00148,CUST01455,Customer 1421,customer1438@example.com,Analytics Suite,Feature Request,General enquiry,In Progress,Refund processed,Medium,Chat,81,116.2,4
TKT00149,CUST00546,Customer 67,customer428@example.com,AI Platform,Billing,Installation help,Open,Escalated,High,Chat,295,114.99,2
TKT00150,CUST01757,Customer 1745,customer1808@example.com,Cloud Subscription,Product Question,Performance issue,Resolved,Password reset,Low,Email,231,98.99,2
TKT00151,CUST01219,Customer 699,customer35@example.com,AI Platform,Feature Request,Payment issue,Resolved,Configuration fixed,Low,Email,309,21.36,5
TKT00152,CUST00369,Customer 40,customer329@example.com,CRM License,Account Access,Installation help,Resolved,Password reset,Medium,Phone,580,2.91,3
TKT00153,CUST01765,Customer 773,customer1103@example.com,Laptop,Product Question,Installation help,Closed,Configuration fixed,Medium,Chat,33,23.92,4
TKT00154,CUST00564,Customer 1688,customer1110@example.com,Cloud Subscription,Technical Issue,General enquiry,Closed,Escalated,High,Email,215,104.65,4
TKT00155,CUST00996,Customer 1919,customer429@example.com,AI Platform,Product Question,Installation help,In Progress,Information provided,Critical,Chat,83,18.81,4
TKT00156,CUST00315,Customer 299,customer1282@example.com,Laptop,Technical Issue,General enquiry,In Progress,Refund processed,Low,Email,476,28.41,5
TKT00157,CUST00780,Customer 781,customer1679@example.com,CRM License,Feature Request,Login problem,In Progress,Refund processed,Critical,Email,323,83.11,5
TKT00158,CUST01294,Customer 1685,customer266@example.com,Analytics Suite,Billing,Payment issue,Resolved,Escalated,Medium,Email,76,57.55,5
TKT00159,CUST01798,Customer 43,customer1570@example.com,Laptop,Feature Request,Login problem,Open,Configuration fixed,High,Email,478,78.65,5
TKT00160,CUST00877,Customer 1084,customer1087@example.com,Support Package,Technical Issue,Performance issue,Resolved,Password reset,Critical,Phone,75,67.79,1
TKT00161,CUST01236,Customer 1085,customer1803@example.com,Cloud Subscription,Product Question,Installation help,Closed,Refund processed,High,Web Form,463,68.91,3
TKT00162,CUST00206,Customer 741,customer505@example.com,Analytics Suite,Technical Issue,General enquiry,Open,Information provided,Low,Email,599,104.79,4
TKT00163,CUST00478,Customer 639,customer1371@example.com,Analytics Suite,Product Question,General enquiry,Resolved,Refund processed,High,Phone,308,26.52,5
TKT00164,CUST01152,Customer 1883,customer1508@example.com,CRM License,Technical Issue,General enquiry,Open,Password reset,Low,Phone,389,17.14,2
TKT00165,CUST00084,Customer 717,customer720@example.com,Analytics Suite,Product Question,General enquiry,Closed,Configuration fixed,Medium,Web Form,16,48.89,5
TKT00166,CUST00678,Customer 1225,customer1137@example.com,CRM License,Product Question,Payment issue,In Progress,Information provided,High,Web Form,399,64.39,4
TKT00167,CUST00120,Customer 1511,customer1468@example.com,Laptop,Technical Issue,General enquiry,Resolved,Information provided,High,Chat,92,59.11,3
TKT00168,CUST00982,Customer 78,customer822@example.com,Laptop,Feature Request,Performance issue,Closed,Information provided,Critical,Chat,256,65.01,2
TKT00169,CUST00526,Customer 1658,customer1322@example.com,Analytics Suite,Account Access,Login problem,Resolved,Configuration fixed,Medium,Chat,309,58.6,3
TKT00170,CUST00523,Customer 1533,customer1486@example.com,Laptop,Product Question,Installation help,In Progress,Configuration fixed,Critical,Phone,457,62.39,3
TKT00171,CUST00924,Customer 387,customer477@example.com,Cloud Subscription,Product Question,Installation help,Closed,Password reset,Medium,Web Form,470,111.86,2
TKT00172,CUST00323,Customer 365,customer1464@example.com,Laptop,Billing,General enquiry,Open,Refund processed,Medium,Web Form,557,6.46,3
TKT00173,CUST01519,Customer 1134,customer1186@example.com,Support Package,Billing,General enquiry,Resolved,Password reset,High,Email,452,113.03,3
TKT00174,CUST00902,Customer 1847,customer421@example.com,Support Package,Technical Issue,Login problem,Open,Password reset,High,Email,51,70.67,5
TKT00175,CUST01806,Customer 1783,customer1684@example.com,Support Package,Product Question,General enquiry,Open,Information provided,Critical,Email,411,6.22,1
TKT00176,CUST00453,Customer 333,customer52@example.com,CRM License,Product Question,Payment issue,Open,Configuration fixed,Critical,Phone,105,6.89,4
TKT00177,CUST00125,Customer 1204,customer1216@example.com,Support Package,Technical Issue,Login problem,Closed,Refund processed,High,Phone,568,68.8,1
TKT00178,CUST00811,Customer 976,customer497@example.com,Support Package,Billing,Login problem,Resolved,Configuration fixed,High,Chat,519,82.84,2
TKT00179,CUST00211,Customer 1380,customer1419@example.com,Cloud Subscription,Product Question,Installation help,Closed,Configuration fixed,Medium,Chat,187,62.67,5
TKT00180,CUST00765,Customer 1046,customer1766@example.com,Cloud Subscription,Billing,Login problem,Open,Password reset,Low,Email,49,54.14,4
TKT00181,CUST01543,Customer 1145,customer1332@example.com,Laptop,Product Question,Payment issue,Open,Escalated,High,Email,542,33.61,2
TKT00182,CUST01881,Customer 1128,customer794@example.com,Laptop,Product Question,Payment issue,Resolved,Information provided,High,Phone,216,72.99,4
TKT00183,CUST00916,Customer 37,customer1280@example.com,Analytics Suite,Account Access,Installation help,Resolved,Configuration fixed,Medium,Web Form,510,107.76,5
TKT00184,CUST00374,Customer 1067,customer403@example.com,Analytics Suite,Technical Issue,Installation help,In Progress,Configuration fixed,High,Email,51,50.98,2
TKT00185,CUST00776,Customer 300,customer170@example.com,AI Platform,Technical Issue,Installation help,Open,Escalated,High,Chat,153,83.64,4
TKT00186,CUST00573,Customer 879,customer738@example.com,CRM License,Billing,Performance issue,Open,Escalated,Medium,Email,245,2.58,2
TKT00187,CUST00242,Customer 1086,customer1228@example.com,Laptop,Account Access,Login problem,In Progress,Escalated,Low,Phone,78,54.27,2
TKT00188,CUST01584,Customer 1426,customer767@example.com,Analytics Suite,Account Access,Login problem,Resolved,Configuration fixed,Medium,Web Form,269,91.53,5
TKT00189,CUST01463,Customer 1698,customer224@example.com,AI Platform,Feature Request,General enquiry,In Progress,Refund processed,Low,Chat,554,101.11,1
TKT00190,CUST00592,Customer 312,customer909@example.com,Analytics Suite,Feature Request,Payment issue,Closed,Configuration fixed,Low,Web Form,109,64.68,1
TKT00191,CUST00972,Customer 1171,customer1741@example.com,AI Platform,Feature Request,Login problem,Resolved,Configuration fixed,Medium,Email,253,68.2,1
TKT00192,CUST00961,Customer 1575,customer901@example.com,AI Platform,Account Access,Login problem,In Progress,Refund processed,Critical,Phone,50,17.04,1
TKT00193,CUST00862,Customer 656,customer920@example.com,CRM License,Account Access,General enquiry,Resolved,Information provided,Critical,Chat,395,35.81,4
TKT00194,CUST01524,Customer 75,customer597@example.com,AI Platform,Feature Request,Payment issue,Open,Information provided,Medium,Email,251,80.25,3
TKT00195,CUST01397,Customer 1853,customer954@example.com,Cloud Subscription,Billing,Login problem,Open,Password reset,High,Chat,306,92.14,1
TKT00196,CUST00009,Customer 1685,customer599@example.com,Analytics Suite,Technical Issue,Payment issue,Open,Refund processed,Low,Phone,309,10.29,2
TKT00197,CUST00449,Customer 1418,customer1915@example.com,Support Package,Technical Issue,General enquiry,Open,Escalated,Medium,Phone,395,115.33,5
